MES	ANY	REGIO	CAMIONS	FURGONS	COTXES
11	2002	AME	9929	14242	33880
11	2002	MON	17016	16718	22888
12	2002	CEE	6560	8568	24265
12	2002	AME	10108	14050	32496
12	2002	MON	16071	17009	21834
1	2003	CEE	5583	12956	24554
1	2003	AME	9953	14222	31419
1	2003	MON	12798	20017	25247
2	2003	CEE	5292	9138	25425
2	2003	AME	10740	13865	34659
2	2003	MON	17417	21366	24781
3	2003	CEE	5255	12937	24416
3	2003	AME	10229	13993	31856
3	2003	MON	13063	17083	24676
4	2003	CEE	6908	10291	26372
4	2003	AME	10053	15401	34773
4	2003	MON	16798	20013	20213
5	2003	CEE	5240	11235	26247
5	2003	AME	10089	15527	28704
5	2003	MON	14617	18736	23529
6	2003	CEE	6411	10085	26668
6	2003	AME	10402	14002	30549
6	2003	MON	13009	21360	25054
7	2003	CEE	5238	9150	23505
7	2003	AME	10753	14417	35712
7	2003	MON	16603	16397	26142
8	2003	CEE	5839	9400	25193
8	2003	AME	10335	13789	30309
8	2003	MON	16889	16730	21277
9	2003	CEE	5502	11519	24432
9	2003	AME	9939	13636	35172
9	2003	MON	12087	18328	22913
10	2003	CEE	6661	9575	25264
10	2003	AME	9829	13861	30523
10	2003	MON	14567	20391	25807
11	2003	CEE	7095	11327	23297
11	2003	AME	10108	13828	33156
11	2003	MON	15550	17023	21986
12	2003	CEE	5328	10057	26348
12	2003	AME	10211	14269	29992
12	2003	MON	14081	18553	21005
1	2004	CEE	6188	10130	23504
1	2004	AME	10150	13578	29737
1	2004	MON	12829	21375	20121
2	2004	CEE	6314	10845	24619
2	2004	AME	10843	15564	31230
2	2004	MON	12231	18834	21346
3	2004	CEE	6958	9247	26534
3	2004	AME	10553	13563	29128
3	2004	MON	12705	17455	24907
4	2004	CEE	6939	9175	25019
4	2004	AME	10474	13684	31101
4	2004	MON	16007	18674	21911
5	2004	CEE	5404	11682	25046
5	2004	AME	10730	14502	28288
5	2004	MON	18035	19241	20474
6	2004	CEE	5234	9482	23418
6	2004	AME	10025	14515	32379
6	2004	MON	15083	15796	24189
7	2004	CEE	5870	11229	26363
7	2004	AME	9880	15061	30355
7	2004	MON	15209	19070	22327
8	2004	CEE	5135	10834	24391
8	2004	AME	10274	14556	32060
8	2004	MON	14075	20244	22592
9	2004	CEE	5622	11733	23450
9	2004	AME	10478	14912	28848
9	2004	MON	17605	18546	25478
10	2004	CEE	6772	9311	26842
10	2004	AME	10015	13348	32931
10	2004	MON	12949	20116	25370
11	2004	CEE	5448	10974	26431
11	2004	AME	10660	14266	33488
11	2004	MON	14916	20925	20074
12	2004	CEE	5804	10829	26527
12	2004	AME	10102	15527	28729
12	2004	MON	13963	20925	22682
1	2005	CEE	6803	11191	24626
1	2005	AME	10656	13765	32696
1	2005	MON	16197	20323	20193
2	2005	CEE	6972	11834	26859
2	2005	AME	10572	13381	34981
2	2005	MON	13197	19922	20069
3	2005	CEE	6615	12053	23891
3	2005	AME	9813	13472	31587
3	2005	MON	12608	19159	20569
4	2005	CEE	6883	9681	23594
4	2005	AME	10946	15521	31881
4	2005	MON	12047	17026	25697
5	2005	CEE	5206	10858	26466
5	2005	AME	10866	13431	30777
5	2005	MON	14980	21098	25194
6	2005	CEE	6996	8410	25217
6	2005	AME	10564	15051	35387
6	2005	MON	13318	20133	20811
7	2005	CEE	5322	12320	23370
7	2005	AME	10654	15388	35490
7	2005	MON	14880	19647	21011
8	2005	CEE	6605	11166	23952
8	2005	AME	10822	14030	28862
8	2005	MON	16945	18736	23797
9	2005	CEE	5431	8289	26488
9	2005	AME	10927	13326	35347
9	2005	MON	16598	16641	24064
10	2005	CEE	5992	8793	26061
10	2005	AME	10833	14231	32716
10	2005	MON	14311	19621	22696
11	2005	CEE	6591	12362	25841
11	2005	AME	10572	13349	35494
11	2005	MON	12425	20900	19995
12	2005	CEE	5950	11345	25978
12	2005	AME	10413	15086	35167
12	2005	MON	16493	21215	25891
