ID,NOM_CURT_ACTE,NOM_ACTE,ID_EQUIPAMENT,SIGLA,CARRER,NRO,BIS,CODI_POSTAL,CIUTAT,X,Y,TELEFON,EMAIL,DATA_HORA_INICI_ACTE,DATA_HORA_FINAL_ACTE,TIPUS_ACTE,ESTAT,PREU
924,Concert. Els Amics de les Arts,"<p>Els Amics de les Arts presenten el seu nou disc, el quart treball discogr&agrave,fic d&#39,un dels grups de refer&egrave,ncia de l&#39,actual escena musical, que ja ens va sorprendre i captivar amb els seus &agrave,lbums anteriors.</p>  <p><strong>Du",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,22/05/2014 21:00:00,,Música,1,30
925,Concert. Chick Corea,"<p>Chick Corea presenta <strong>&quot,Piano Solo Concert&quot,</strong>. Com pocs, Chick Corea &eacute,s, des de fa d&egrave,cades, una pres&egrave,ncia maj&uacute,scula en el jazz. Un concert imprevisible, &eacute,s clar, perqu&egrave, recorrer&agrave, l",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,30/05/2014 21:00:00,,Música,1,46
927,Dansa. Brodas Bros,"<p>Espectacle <strong>&quot,Concierto Concepto&quot,</strong>. Idea original i coreografia: Brodas Bros. Direcci&oacute, art&iacute,stica: Lluc Fruit&oacute,s. Creaci&oacute, musical i m&uacute,sica en directe: Flowtizta, Jean-Philippe Barrios. Un concert",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,26/04/2014 21:00:00,,Música,1,20
928,Dansa. Malandain Ballet Biarritz,"<p>Coreografia: <strong>&quot,Magifique&quot,</strong>. M&uacute,sica: Piotr Ilitx Txaikovski. Coreografia: Thierry Malandain. &quot,Magifique&quot, &eacute,s una coreografia inspirada en tres ballets del repertori cl&agrave,ssic musicats per <strong>Piot",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,17/05/2014 21:00:00,,Música,1,40
932,Màgia. Els Amics del Mag Lari 3,"<p><strong>M&agrave,gia de gran format</strong> per a tots els p&uacute,blics. Per passar una estona inoblidable plena de m&agrave,gia i humor, no us perdeu aquest espectacle per a tots els p&uacute,blics en companyia del Lari i dos mags convidats molt es",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,06/04/2014 18:00:00,,Altres,1,13
933,Contes musicals  Aventures al voltant del piano ,"<p>Recomanat a partir de 5 anys. A la Sala Escenari. Fitxa art&iacute,stica: Cristina Casale, piano, Jordi Bosch, narrador.</p>  <h3>Programa</h3>  <p><strong>&quot,El primer concert de l&#39,&oacute,s Paddington&quot,</strong>. Text: Michael Bond. M&",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,13/04/2014 12:00:00,,Música,1,13
934,Òpera en família.  Allegro Vivace ,"<p><strong>Doble funci&oacute,</strong>: 12 i 18 h. Un divertit viatge de descobriment de l&#39,&ograve,pera. Recomanat a partir de 8 anys.<br /> <strong>Fragments d&#39,&ograve,peres</strong> de Monteverdi, Purcell, Mozart, Rossini, Donizetti, Berlioz, ",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,11/05/2014 12:00:00,,Música,1,13
935,Concert. Macedònia,"<p>Presentaci&oacute, del nou disc <strong>&quot,Flors&quot,</strong>. Maced&ograve,nia torna al Teatre-Auditori per presentar les can&ccedil,ons del seu nou disc &quot,Flors&quot,, un treball ple d&#39,optimisme i vitalitat, que gira al voltant de la fel",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,01/06/2014 18:00:00,,Música,1,10
948,"Parlem de...  La Bohème , de Giacomo Puccini","<p>Amb Roger Alier. Activitat complement&agrave,ria a l&#39,&ograve,pera <strong>&quot,La Boh&egrave,me&quot,</strong>, de Giacomo Puccini, que es representar&agrave, al Teatre-Auditori el 16 de maig a les nou del vespre.</p>  <p><strong>Entrada lliure.",8752,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,936 746 973,info@cafeauditori.com,13/05/2014 19:30:00,,Teatre i dansa,1,
949,Assaig obert. Malandain Ballet Biarritz,"<p>Cal recollir la invitaci&oacute, a partir d&#39,una hora abans a les taquilles. Activitat complement&agrave,ria a l&#39,actuaci&oacute, del Malandain Ballet Biarritz al Teatre-Auditori el mateix 17 de maig a les nou del vespre.</p>  <p><strong>Entrad",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,17/05/2014 18:00:00,,Teatre i dansa,1,
1203,Espai de jocs amb famílies!,"<p><strong>Places exhaurides</strong><br /> Del 27 de gener fins el 7 d&#39,abril els dilluns. Aforament limitat. Cal inscripci&oacute, pr&egrave,via, les <strong>inscripcions </strong>es faran els <strong>dilluns a la tarda al Xalet Negre</strong>.<br /",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,31/03/2014 17:30:00,,Altres,1,
1204,Espai de jocs amb famílies!,"<p><strong>Places exhaurides</strong><br /> Del 27 de gener fins el 7 d&#39,abril els dilluns. Aforament limitat. Cal inscripci&oacute, pr&egrave,via, les <strong>inscripcions </strong>es faran els <strong>dilluns a la tarda al Xalet Negre</strong>.<br /",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,07/04/2014 17:30:00,,Altres,1,
1217,Inscripcions al Curs de formació bàsica en higiene i seguretat alimentària,"<p><strong>Data:</strong> 12 de maig de 2014<br /> <strong>Horari: </strong>16 a 20 h<br /> <strong>Lloc de realitzaci&oacute,: </strong>Casa de Cultura (Aula polivalent 2) C. Castellv&iacute, s/n<br /> <strong>Inscripci&oacute,: </strong>gratu&iuml,ta",4193,PL   ,VILA,1,,8172,Sant Cugat del Vallès,,,935 657 000,bustiaciutadana@santcugat.cat,01/04/2014 8:00:00,,Cursos i tallers,1,
1219,Inscripcions al Curs de formació en higiene i seguretat alimentària en el sector de la restauració i els  menjars preparats per emportar (2a edició),"<p><strong>Dates:</strong> 10 i 17 de novembre de 2014<br /> <strong>Horari: </strong>16 a 19 h<br /> <strong>Lloc de realitzaci&oacute,:</strong> Casa de Cultura (Aula polivalent 2) C. Castellv&iacute, s/n<br /> <strong>Inscripci&oacute,:</strong> gra",4193,PL   ,VILA,1,,8172,Sant Cugat del Vallès,,,935 657 000,bustiaciutadana@santcugat.cat,01/10/2014 8:00:00,,Cursos i tallers,1,
1220,Inscripcions al Curs de formació en higiene i seguretat alimentària en el sector minorista carni,"<p><strong>Dates:</strong> 15 i 22 de setembre de 2014<br /> <strong>Horari: </strong>16 a 19 h<br /> <strong>Lloc de realitzaci&oacute,: </strong>Casa de Cultura (Aula polivalent 2) C. Castellv&iacute, s/n<br /> <strong>Inscripci&oacute,:</strong> gra",4193,PL   ,VILA,1,,8172,Sant Cugat del Vallès,,,935 657 000,bustiaciutadana@santcugat.cat,01/07/2014 8:00:00,,Cursos i tallers,1,
1251,Escola de pares i mares. Tecnologies de la informació i la comunicació III,"<p><strong>Nadius i immigrants digitals: l&rsquo,&uacute,s de les pantalles i la xarxa.</strong><br /> Xerrada per a pares i mares (fills/es pre-adolescents i adolescents). A c&agrave,rrec d&rsquo,&Oacute,scar Barril, educador social especialitzat en la",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,31/03/2014 19:00:00,,Conferències i jornades,1,
1265,Teatre.  Taula rodona ,"<p><strong>Amb el</strong> <strong>Grup de Teatre Espiral</strong>. Als anys setanta es patia una crisi en la civilitzaci&oacute, occidental i tothom n&#39,era conscient, de manera que les manifestacions, els col&middot,loquis, les taules rodones, els man",2702,C    ,CASINO,27,,8198,Sant Cugat del Vallès,,,935 838 143,casinolafloresta@santcugat.cat,04/04/2014 21:00:00,,Teatre i dansa,1,8
1289,Música.  Inner  amb Natxo Tarrés (Gossos),"<p><strong>Concert-tert&uacute,lia. </strong>Uns dels artistes catalans mes reconeguts dins del panorama de la m&uacute,sica en catal&agrave,. Cofundador el 1993 del grup Gossos amb els quals porta 20 anys de carrera i 11 discs d&rsquo,estudi. No us perde",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,23/05/2014 21:00:00,,Música,1,10
1290,Música a l aire lliure. Jazz a la fresca,"<p><strong>Entrada lliure. A partir de les 20 h</strong><br /> El Casino de la Floresta us presenta un any m&eacute,s una Nit de Jazz, on podreu compartir un vespre de bona m&uacute,sica i bon ambient a l&rsquo,aire lliure gaudint de la bona temperatura ",2702,C    ,CASINO,27,,8198,Sant Cugat del Vallès,,,935 838 143,casinolafloresta@santcugat.cat,14/06/2014 20:00:00,,Música,1,
1291,Teatre.  Me’n vaig de viatge ,"<p>La <strong>Paula Polida</strong> &ndash,convidada d&rsquo,humor a fires, festes i festivals&ndash, viatja carregada de maletes, tamborets, de la capa i del barret de copa. Curiosa i festiva com &eacute,s, s&rsquo,atura all&agrave, on hi ha gent menuda ",7138,PL   ,COLL DE LA CREU D EN BLAU,7,,8196,Sant Cugat del Vallès,,,936 755 105 ,casallesplanes@santcugat.cat,06/04/2014 12:00:00,,Teatre i dansa,1,6
1298,El documental del mes.  Lloga una família S.A. ,"<p>(Rent a Family Inc.) Aquesta &eacute,s la hist&ograve,ria &uacute,nica i impredictible sobre el Sr. Ryuichi Ichinokawa i la seva curiosa forma de vida. La fam&iacute,lia Ichinokawa sembla des de fora portar una vida familiar completament normal. Tanmat",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,09/04/2014 20:00:00,,Cinema,1,
1299,El documental del mes,"<p><strong>A determinar.</strong><br /> <strong>Consultar programaci&oacute, a:</strong> <a class= nova_finestra  href= http://www.casadecultura.santcugat.cat/  target= _blank >Casa de Cultura</a></p>  <p>Una iniciativa de Paral&middot,lel 40.<br /> <",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,14/05/2014 20:00:00,,Cinema,1,
1300,El documental del mes,"<p><strong>A determinar.</strong><br /> <strong>Consultar programaci&oacute, a:</strong> <a class= nova_finestra  href= http://www.casadecultura.santcugat.cat/  target= _blank >Casa de Cultura</a></p>  <p>Una iniciativa de Paral&middot,lel 40.<br /> <",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,11/06/2014 20:00:00,,Cinema,1,
1301,El documental del mes,"<p><strong>A determinar.</strong><br /> <strong>Consultar programaci&oacute, a:</strong> <a class= nova_finestra  href= http://www.casadecultura.santcugat.cat/  target= _blank >Casa de Cultura</a></p>  <p>Una iniciativa de Paral&middot,lel 40.<br /> <",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,09/07/2014 20:00:00,,Cinema,1,
1302,Conferència.  La I Revolució Industrial. Catalunya i Espanya en el context europeu ,"<p><strong>Entrada gratu&iuml,ta.</strong> Una proposta de l&#39,Associaci&oacute, Cultural Sant Cugat. A c&agrave,rrec de Pilar L&oacute,pez. Del cicle &quot,L&rsquo,economia motor de la hist&ograve,ria&quot,.<br /> El frac&agrave,s de la Revoluci&oacut",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,09/04/2014 18:00:00,,Conferències i jornades,1,
1303,Conferència.  Adam Smith. Més enllà dels tòpics ,"<p><strong>Entrada gratu&iuml,ta.</strong> Una proposta de l&#39,Associaci&oacute, Cultural Sant Cugat. A c&agrave,rrec de Manel L&oacute,pez.<br /> Del cicle &quot,L&#39,economia motor de la hist&ograve,ria&quot,.<br /> Adam Smith ha estat considerat e",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,30/04/2014 18:00:00,,Conferències i jornades,1,
1304,Conferència.  La Revolució Industrial de l època victoriana ,"<p><strong>Entrada gratu&iuml,ta.</strong> Una proposta de l&#39,Associaci&oacute, Cultural Sant Cugat. A c&agrave,rrec de Manel L&oacute,pez.<br /> Del cicle &quot,L&rsquo,economia motor de la hist&ograve,ria&quot,.<br /> Entre 1830 i 1870, el Regne Un",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,14/05/2014 18:00:00,,Conferències i jornades,1,
1305,Conferència.  Les emocions i l ètica ,"<p><strong>Entrada gratu&iuml,ta.</strong> Una proposta de l&#39,Associaci&oacute, Cultural Sant Cugat. A c&agrave,rrec de Vict&ograve,ria Camps.<br /> Del cicle &quot,Parlem de filosofia&quot,.<br /> Les emocions morals s&oacute,n aquelles que conv&eac",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,28/05/2014 18:00:00,,Conferències i jornades,1,
1307,Conferència.  Sobre la necessitat de parar-se a pensar ,"<p><strong>Entrada gratu&iuml,ta.</strong> Una proposta de l&#39,Associaci&oacute, Cultural Sant Cugat. A c&agrave,rrec de Manuel Cruz.<br /> Del cicle &quot,Parlem de filosofia&quot,.<br /> El pensament no sembla gaudir d&rsquo,un gran cr&egrave,dit ac",9114,PL   ,COLL,4,,8172,Sant Cugat del Vallès,,,936 030 529 ,,11/06/2014 18:00:00,,Conferències i jornades,1,
1362,Reunió Toastmasters,"<p>Vols millorar els teus dots comunicatius? A Toastmasters aprenem dots de comunicaci&oacute, i de lideratge. Vine a con&egrave,ixer-nos en una reuni&oacute, gratu&iuml,ta.<br /> <strong>M&eacute,s informaci&oacute, a</strong>: <a class= nova_finestra  ",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,07/04/2014 20:00:00,,Altres,1,
1407,Curs d economia crítica  Per entendre l actualitat ,"<p><strong>Amb el seminari d&#39,economia cr&iacute,tica Taifa.</strong><br /> Curs obert a tota la ciutadania.<br /> <strong>Preu: </strong>10&euro, (inclou despeses de material i doc&egrave,ncia).<br /> <strong>Dies: </strong>4, 11 i 25 d&#39,abril, ",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,04/04/2014 19:00:00,,Cursos i tallers,1,10
1409,Ballada de sardanes,"<p>Amb la Cobla Joven&iacute,vola de Sabadell.</p> ",16511,PL   ,OCTAVIA,,,,Sant Cugat del Vallès,,,,,17/05/2014 19:00:00,,Populars i tradicionals,1,
1410,Ballada de sardanes,"<p>Amb la Cobla Mediterr&agrave,nia.</p> ",16511,PL   ,OCTAVIA,,,,Sant Cugat del Vallès,,,,,23/06/2014 18:30:00,,Populars i tradicionals,1,
1411,Nits temàtiques de la Unipau,"<p><strong>Activitat gratu&iuml,ta.<br /> Tem&agrave,tica: Populismes. </strong>Reflexi&oacute, i an&agrave,lisi entorn del llibre &quot,Alba Dorada&quot,, de Dimitri Deliolanes (Ed.Fandango i Kindle Amazon). Davant la crisi i la p&egrave,rdua de credibi",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,11/04/2014 19:30:00,,Conferències i jornades,1,
1412,Nits temàtiques de la Unipau,"<p><strong>Activitat gratu&iuml,ta.<br /> Tem&agrave,tica: Mediterr&agrave,nia o Mediterr&agrave,nies.</strong> Reflexi&oacute, i an&agrave,lisi entorn del llibre &quot,Las palabras del tiempo. Un ideario para pensar historicamente&quot,, de Francesco Be",1435,C    ,CASTELLVI,8,(Jardins del Monestir),8173,Sant Cugat del Vallès,,,935 891 382,casadecultura@santcugat.cat,23/05/2014 19:30:00,,Conferències i jornades,1,
1419,Escola de pares i mares. Habilitats educatives III,"<p><strong>Tenim dificultats per a fer complir les normes? Sabem posar l&iacute,mits que els ajudin a cr&eacute,ixer?</strong><br /> Xerrada per a pares i mares (fills/es de 3 a 12 anys)<br /> A c&agrave,rrec de Maria Jes&uacute,s Comellas, Doctora en",906,PG   ,CREU,1,,8173,Sant Cugat del Vallès,,,935 898 586,a8038260@xtec.cat,02/04/2014 20:30:00,,Conferències i jornades,1,
1430,Concert benèfic pel Parkinson,"<p><strong>Preu:</strong> 10&euro,, 8&euro, anticipada. Socis gratu&iuml,t. Tel. 93 589 73 09 (Joventuts Musicals Sant Cugat).<br /> <strong>Fitxa art&iacute,stica:</strong> Pau Codina, violoncel, i Marc Heredia, piano.</p> ",1536,PL   ,VICTORIA DELS ANGELS,2,,8172,Sant Cugat del Vallès,,,935 890 551,a8040643@centres.xtec.es,12/04/2014 18:00:00,,Música,1,10
1431,Concert. Trio Rodin,"<p><strong>Preu:</strong> 10&euro,, 8&euro, anticipada. Socis gratu&iuml,t. Tel. 93 589 73 09 (Joventuts Musicals Sant Cugat).<br /> <strong>Fitxa art&iacute,stica:</strong> Carles Puig, viol&iacute,, Esther Garc&iacute,a, violoncel, i Jorge Mengotti, pi",1536,PL   ,VICTORIA DELS ANGELS,2,,8172,Sant Cugat del Vallès,,,935 890 551,a8040643@centres.xtec.es,31/05/2014 18:00:00,,Música,1,10
1432,Concert. Esmeralda Jiménez i Omar Sánchez,"<p><strong>Preu:</strong> 10&euro,, 8&euro, anticipada. Socis gratu&iuml,t. Tel. 93 589 73 09 (Joventuts Musicals Sant Cugat).<br /> <strong>Fitxa art&iacute,stica:</strong> Esmeralda Jim&eacute,nez, soprano, i Omar S&aacute,nchez, piano.</p> ",1536,PL   ,VICTORIA DELS ANGELS,2,,8172,Sant Cugat del Vallès,,,935 890 551,a8040643@centres.xtec.es,11/05/2014 18:00:00,,Música,1,10
1433,"Concert. Noelia Rodiles, piano","<p><strong>Preu:</strong> 10&euro,, 8&euro, anticipada. Socis gratu&iuml,t. Tel. 93 589 73 09 (Joventuts Musicals Sant Cugat).</p> ",1536,PL   ,VICTORIA DELS ANGELS,2,,8172,Sant Cugat del Vallès,,,935 890 551,a8040643@centres.xtec.es,21/06/2014 18:00:00,,Música,1,10
1437,Concert. Lluis Vidal Trio,"<p><strong>Entrada lliure. Aforament limitat.</strong><br /> Formaci&oacute, &agrave,gil, equilibrada, de sonoritat c&agrave,lida i sempre suggerent. El seu repertori el formen composicions originals i interpretacions molt personals de can&ccedil,ons pop",8752,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,936 746 973,info@cafeauditori.com,10/04/2014 21:00:00,,Música,1,
1461,Passejades per Collserola. Redescobrint les masies de Sant Cugat,"<p><strong>Passejada gratu&iuml,ta, oberta a tothom i sense inscripci&oacute, pr&egrave,via.</strong></p>  <p><strong>Itinerari: </strong>Aquest diumenge farem un recorregut per algunes de les masies on ha bategat la vida quotidiana i agr&iacute,cola de",1437,PL   ,VILA,2,,8172,Sant Cugat del Vallès,,,936 745 396,cmsc@cmsc.cat,30/03/2014 9:00:00,,Rutes i visites,1,
1467,Balls del diumenge,"<p>Preu: parella de socis 10&euro,, parella general 15&euro,. Entrades individuals meitat de preu. Amb l&#39,actuaci&oacute, del grup David de Vic. A l&#39,intermedi et donarem de berenar.</p> ",1436,AV   ,JOSEP ANSELM CLAVE,17,,8172,Sant Cugat del Vallès,,,936 752 057,info@teatrelaunio.cat,30/03/2014 18:30:00,,Altres,1,
1477,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,11/04/2014 20:30:00,,Rutes i visites,1,15
1478,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,23/05/2014 20:30:00,,Rutes i visites,1,15
1479,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,13/06/2014 20:30:00,,Rutes i visites,1,15
1480,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,26/09/2014 20:30:00,,Rutes i visites,1,15
1481,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,24/10/2014 20:30:00,,Rutes i visites,1,15
1482,Visites de nit amb notes musicals,"<p><strong>Els llocs silenciosos de vegades parlen.</strong> I aix&ograve, fa el Monestir a la nit: parlar-te de la vida quotidiana dels monjos benedictins mentre passeges pel seu conjunt arquitect&ograve,nic amb la rosassa, una de les m&eacute,s grans de",1457,PL   ,OCTAVIA,10,,8172,Sant Cugat del Vallès,,,936 759 952,turisme@santcugat.cat,14/11/2014 20:30:00,,Rutes i visites,1,15
